Dwayne Allen,3,3.72
Dennis Pitta,3,6.21
Joe Flacco,0,13.47
Ladarius Green,3,3.71
Mike Gillislee,1,2.64
Jordan Howard,1,16.63
Ted Ginn,2,3.54
Thomas Rawls,1,12.28
Golden Tate,2,12.88
Terrance West,1,8.81
Brandon LaFell,2,6.99
Latavius Murray,1,13.51
Robby Anderson,2,4.00
Breshad Perriman,2,3.20
Zach Ertz,3,8.70
Jerick McKinnon,1,4.82
Andrew Luck,0,20.68
Cameron Brate,3,8.56
Devonta Freeman,1,16.11
JJ Nelson,2,2.52
Jordy Nelson,2,13.69
Aldrick Robinson,2,0.77
Andy Dalton,0,14.40
David Johnson,1,26.23
John Kuhn,1,0.54
Aaron Ripkowski,1,0.87
Carson Palmer,0,16.68
Ryan Griffin,3,2.28
Bryce Petty,0,0.31
Freddie Martino,2,0.62
Dontrelle Inman,2,4.97
Cody Core,2,0.02
Travaris Cadet,1,1.37
Tyler Lockett,2,2.50
Travis Kelce,3,11.98
Jermaine Kearse,2,3.34
Jonathan Grimes,1,0.73
Darren Sproles,1,8.45
DeVante Parker,2,5.46
Lesean McCoy,1,17.30
Jimmy Graham,3,10.05
Kamar Aiken,2,0.39
Robert Turbin,1,2.51
Malcolm Mitchell,2,7.13
Melvin Gordon,1,16.74
Chris Hogan,2,5.50
Coby Fleener,3,6.47
Mychal Rivera,3,2.62
Trey Burton,3,3.58
Spencer Ware,1,14.58
TY Hilton,2,15.05
Rashad Jennings,1,10.55
Michael Crabtree,2,13.55
Matthew Stafford,0,20.53
Michael Floyd,2,6.02
Jermaine Gresham,3,4.53
Brian Quick,2,4.30
Brock Osweiler,0,15.09
Kenny Britt,2,10.80
Jarvis Landry,2,11.31
Jacquizz Rodgers,1,2.71
Pierre Garcon,2,8.73
Albert Wilson,2,4.31
Rex Burkhead,1,4.21
Cameron Meredith,2,6.01
Alfred Blue,1,2.92
Dez Bryant,2,14.23
Adam Thielen,2,8.03
Sterling Shepard,2,8.09
Devin Funchess,2,3.43
DeAndre Hopkins,2,11.34
Julian Edelman,2,12.16
Levine Toilolo,3,2.82
Taylor Gabriel,2,5.18
Philip Rivers,0,15.50
LeGarrette Blount,1,13.57
Kapri Bibbs,1,3.76
Tyler Boyd,2,7.49
Carson Wentz,0,13.99
Tyrell Williams,2,10.79
TJ Yeldon,1,8.87
Jamison Crowder,2,10.93
Denard Robinson,1,6.40
Vernon Davis,3,6.79
Kenneth Dixon,1,9.44
Doug Martin,1,13.70
CJ Fiedorowicz,3,7.96
Chris Thompson,1,5.77
Donte Moncrief,2,11.46
Dion Lewis,1,6.69
James White,1,6.41
Jalen Richard,1,6.26
Tyler Eifert,3,10.58
Antonio Gates,3,6.96
Kirk Cousins,0,19.19
Theo Riddick,1,11.55
Julio Jones,2,16.17
Kyle Rudolph,3,8.89
DeSean Jackson,2,7.82
Odell Beckham,2,16.43
Mike Wallace,2,10.37
Larry Fitzgerald,2,14.28
Randall Cobb,2,10.89
Sam Bradford,0,16.42
Steve Smith,2,10.00
Jameis Winston,0,16.02
Amari Cooper,2,14.94
Devontae Booker,1,12.38
Carlos Hyde,1,12.48
Blake Bortles,0,14.37
Derek Carr,0,21.10
Alex Smith,0,14.83
Matt Asiata,1,5.54
Justin Hunter,2,5.12
Jeremy Hill,1,14.09
Antonio Brown,2,17.04
Demaryius Thomas,2,11.75
Kenny Stills,2,5.77
Eric Ebron,3,8.48
Nelson Agholor,2,7.22
Travis Benjamin,2,6.40
Le'Veon Bell,1,22.24
Ezekiel Elliott,1,21.63
Ben Roethlisberger,0,21.69
Marqise Lee,2,8.07
Brandin Cooks,2,14.04
Jeremy Kerley,2,5.72
Anquan Boldin,2,9.42
Lance Kendricks,3,5.89
Mohamed Sanu,2,7.31
Matt Ryan,0,20.93
Russell Wilson,0,20.73
Jared Goff,0,12.12
Jay Ajayi,1,15.51
Adam Humphries,2,6.89
Eli Rogers,2,6.34
AJ Derby,3,5.01
Quincy Enunwa,2,5.74
Eli Manning,0,18.10
Doug Baldwin,2,14.42
Wendell Smallwood,1,6.33
Dorial Green-Beckham,2,9.41
Ryan Tannehill,0,14.58
Hunter Henry,3,6.46
Tyreek Hill,2,12.52
Vance McDonald,3,6.62
Jack Doyle,3,7.83
Stefon Diggs,2,14.84
Terrance Williams,2,7.32
Tevin Coleman,1,10.02
Sammie Coates,2,5.14
Josh Hill,3,5.97
Shaun Draughn,1,7.24
Chris Conley,2,5.24
Cole Beasley,2,8.80
Greg Olsen,3,10.10
Matt Forte,1,15.00
Austin Hooper,3,5.83
Jonathan Stewart,1,9.66
Tyrod Taylor,0,19.97
Willie Snead,2,11.16
Matt Barkley,0,14.37
Brandon Marshall,2,12.70
Michael Thomas,2,12.83
Tom Brady,0,21.51
Cam Newton,0,19.20
Emmanuel Sanders,2,11.03
Allen Robinson,2,11.36
Marquess Wilson,2,6.80
Todd Gurley,1,12.54
Frank Gore,1,14.77
Rob Kelley,1,13.22
Sammy Watkins,2,12.25
Mark Ingram,1,15.44
Martellus Bennett,3,9.41
Tim Hightower,1,9.53
James Starks,1,8.48
Dak Prescott,0,19.67
Kelvin Benjamin,2,11.67
Davante Adams,2,11.08
Aaron Rodgers,0,24.89
Paxton Lynch,0,14.38
Mike Evans,2,16.70
Lamar Miller,1,15.07
Ryan Fitzpatrick,0,16.16
Drew Brees,0,24.20
Colin Kaepernick,0,20.91
