3903.31,26.1954
144.045
aaron rodgers,david johnson,jeremy hill,rob kelley,julian edelman,deandre hopkins,jordan matthews,jack doyle,san francisco,
ben roethlisberger,david johnson,jeremy hill,rob kelley,michael thomas,golden tate,deandre hopkins,tyler eifert,cincinnati,
colin kaepernick,david johnson,mark ingram,doug martin,michael crabtree,kelvin benjamin,deandre hopkins,jack doyle,san francisco,
ben roethlisberger,david johnson,frank gore,devontae booker,brandin cooks,brandon marshall,golden tate,jack doyle,green bay,
aaron rodgers,lesean mccoy,matt forte,rob kelley,larry fitzgerald,michael crabtree,michael thomas,jack doyle,cincinnati,
aaron rodgers,david johnson,mark ingram,rob kelley,brandon marshall,kelvin benjamin,golden tate,vernon davis,cincinnati,
aaron rodgers,mark ingram,frank gore,jeremy hill,brandin cooks,michael thomas,brandon marshall,tyler eifert,green bay,
aaron rodgers,devonta freeman,frank gore,doug martin,odell beckham,brandon marshall,golden tate,jack doyle,san francisco,
aaron rodgers,lesean mccoy,matt forte,jeremy hill,brandin cooks,michael crabtree,brandon marshall,jack doyle,green bay,
ben roethlisberger,matt forte,frank gore,jeremy hill,odell beckham,michael crabtree,deandre hopkins,tyler eifert,cincinnati,
ben roethlisberger,mark ingram,matt forte,rob kelley,odell beckham,larry fitzgerald,brandin cooks,jack doyle,san francisco,
aaron rodgers,lesean mccoy,matt forte,jeremy hill,brandin cooks,michael crabtree,brandon marshall,jack doyle,cincinnati,
ben roethlisberger,david johnson,mark ingram,doug martin,kelvin benjamin,golden tate,willie snead,kyle rudolph,green bay,

