russell wilson,32,19.1825,0,7.22,
cam newton,30,18.5849,0,11.26,
andrew luck,31,18.4319,0,8.48,
jameis winston,31,18.4101,0,7.52,
matthew stafford,31,18.3776,0,9.21,
tyrod taylor,29,16.596,0,7.54,*
carson palmer,27,15.9667,0,7.39,
carson wentz,23,14.5915,0,7.97,*
brock osweiler,23,14.1067,0,6.59,*
sam bradford,23,13.9563,0,7.69,*
matt barkley,25,13.7695,0,8.12,*
blake bortles,21,12.7709,0,7.27,
bryce petty,20,12.4649,0,7.25,
leveon bell,40,22.375,1,10.66,
david johnson,40,22.015,1,11.25,
demarco murray,34,17.38,1,11.27,
melvin gordon,33,16.835,1,9.47,
matt forte,28,15.58,1,9.3,
jeremy hill,27,15.5,1,10.59,
devonta freeman,27,13.67,1,10.57,*
jordan howard,26,13.435,1,9.92,
jay ajayi,25,12.895,1,10.3,*
frank gore,20,12.23,1,8.14,
carlos hyde,22,11.99,1,9.7,
thomas rawls,24,11.85,1,8.79,
isaiah crowell,19,11.82,1,7.02,*
todd gurley,20,11.755,1,8.38,
rob kelley,19,11.445,1,9.5,
theo riddick,19,11.01,1,10.08,
devontae booker,18,10.74,1,10.87,*
darren sproles,15,10.135,1,6.99,*
jerick mckinnon,12,9.905,1,6.62,
bilal powell,11,9.185,1,5.02,
matt asiata,13,8.405,1,5.68,*
tj yeldon,12,8.355,1,5.46,*
mike evans,40,17.865,2,10.81,
antonio brown,39,17.325,2,11.9,
odell beckham,36,16.73,2,12.92,
ty hilton,24,14.495,2,9.67,
larry fitzgerald,27,13.965,2,8.94,
dez bryant,26,13.245,2,10.36,
jordy nelson,29,13.02,2,8.82,*
julian edelman,22,12.92,2,10.86,
emmanuel sanders,24,12.755,2,8.14,*
tyrell williams,24,12.535,2,8.07,
demaryius thomas,22,12.51,2,9.11,
stefon diggs,23,12.29,2,9.3,
jordan matthews,17,12.12,2,7.86,
deandre hopkins,18,12.095,2,8.63,
sammy watkins,19,11.455,2,9.99,
jarvis landry,19,11.235,2,9.1,*
taylor gabriel,18,10.9,2,8.28,
donte moncrief,18,10.945,2,7.1,
steve smith,17,10.71,2,7.96,
pierre garcon,15,10.46,2,8.54,
allen robinson,16,10.375,2,7.86,
sterling shepard,15,10.265,2,7.17,
tyler lockett,14,8.9,2,7.32,
desean jackson,17,10.18,2,6.73,*
cameron meredith,11,9.405,2,6.42,
adam thielen,13,8.76,2,7.32,
marqise lee,12,8.535,2,5.37,
michael floyd,13,8.425,2,4.42,
robby anderson,10,8,2,5.2,
jj nelson,10,8,2,7.29,
tavon austin,12,8.265,2,5.14,
greg olsen,21,12.43,3,8.35,
tyler eifert,23,11.475,3,12.31,
zach ertz,15,9.565,3,7.29,
kyle rudolph,14,8.435,3,7.02,
ladarius green,13,8.425,3,7.18,
gary barnidge,12,6.275,3,5.07,*
dwayne allen,11,6.22,3,3.99,*
will tye,10,6.095,3,5.19,
charles clay,11,6.01,3,4.66,*
jermaine gresham,10,5.89,3,4.3,*
jared cook,11,5.695,3,5.76,*
jack doyle,10,5.36,3,5.96,*
minnesota,21,10.718,4,4.26,
new england,17,8.734,4,4.62,*
cincinnati,16,8.338,4,5.43,
atlanta,17,8.324,4,5.21,
miami,18,8.29,4,5.09,*
arizona,14,8.084,4,5.38,
carolina,16,7.776,4,7.04,
detroit,16,7.422,4,5.13,
washington,13,7.334,4,5.62,
tennessee,14,7.296,4,5.4,*
new orleans,13,7.148,4,5.38,*
houston,13,7.074,4,4.89,*
dallas,13,7.008,4,4,*
new york jets,11,6.512,4,5,*
san francisco,12,6.472,4,5.24,
jacksonville,11,6.448,4,4.77,
chicago,10,5.924,4,4.97,*
green bay,10,5.698,4,4.56,*
cleveland,10,5.2,4,3.24,*
