Matt Ryan,34.2,22.8,285.9,2.5,0.6,2.9,8.2,0.1,0.2,21.1
Aaron Rodgers,38.2,24.5,271.2,2.1,0.7,3.4,15.9,0.1,0.2,19.7
Kirk Cousins,37.1,24.1,286.1,2.1,1.0,2.0,4.6,0.1,0.2,18.7
Tyrod Taylor,26.9,16.7,196.0,1.4,0.6,6.2,37.7,0.5,0.2,18.4
Russell Wilson,34.7,22.6,254.1,1.7,0.7,4.8,24.9,0.1,0.2,18.1
Cam Newton,32.5,19.2,234.5,1.5,0.9,6.6,34.5,0.3,0.3,17.9
Drew Brees,40.6,26.7,293.5,2.1,1.1,1.3,2.0,0.1,0.3,17.8
Derek Carr,37.5,22.9,266.7,1.9,0.8,2.4,6.5,0.1,0.2,17.4
Philip Rivers,36.9,23.1,275.0,2.1,1.0,1.4,4.0,0.0,0.3,17.4
Colin Kaepernick,31.0,18.3,202.3,1.3,0.9,6.7,43.3,0.4,0.3,17.3
Carson Palmer,38.2,24.2,290.6,2.0,1.2,1.0,1.5,0.0,0.3,16.8
Dak Prescott,30.5,19.6,231.9,1.5,0.7,3.7,17.2,0.2,0.3,16.4
Jameis Winston,35.9,22.7,263.8,1.8,1.0,3.2,10.4,0.1,0.3,16.3
Tom Brady,37.0,23.3,252.4,1.7,0.7,2.3,4.6,0.1,0.2,16.3
Alex Smith,36.0,23.3,246.8,1.6,0.7,3.0,12.0,0.1,0.2,16.2
Ben Roethlisberger,35.2,23.0,263.2,1.8,1.1,1.5,5.0,0.0,0.1,16.1
Andrew Luck,36.3,22.3,252.8,1.6,1.2,4.7,21.0,0.1,0.3,16.1
Matthew Stafford,36.4,23.1,258.2,1.6,0.9,2.8,10.7,0.1,0.3,15.8
Andy Dalton,35.1,22.2,250.9,1.5,0.9,2.9,10.8,0.1,0.2,15.5
Sam Bradford,35.8,23.6,248.2,1.7,0.7,1.5,3.5,0.1,0.2,15.4
Eli Manning,36.2,22.8,252.0,1.7,1.0,1.3,3.4,0.0,0.1,15.4
Marcus Mariota,30.8,18.9,219.2,1.3,1.0,4.6,27.3,0.1,0.2,15.1
Joe Flacco,39.0,23.7,264.7,1.6,1.1,1.6,4.0,0.1,0.3,14.9
Trevor Siemian,36.0,21.7,238.3,1.5,1.0,2.0,5.3,0.0,0.3,13.4
Robert Griffin,31.9,18.6,208.1,1.0,1.2,4.6,26.8,0.1,0.2,13.3
Blake Bortles,36.4,21.5,225.8,1.2,1.4,3.8,19.1,0.1,0.2,13.1
Brock Osweiler,31.1,19.2,201.1,1.3,0.9,2.7,11.0,0.1,0.2,12.8
Matt Barkley,34.5,20.0,234.8,1.4,1.3,1.5,3.5,0.0,0.1,12.8
Matt Moore,30.6,18.7,209.3,1.3,0.8,2.6,6.0,0.1,0.2,12.5
Carson Wentz,39.0,23.3,246.9,1.1,1.2,2.2,6.6,0.1,0.2,12.3
Bryce Petty,31.5,18.2,201.3,1.1,1.2,3.0,10.3,0.1,0.3,11.2
Jared Goff,30.0,16.5,181.2,0.8,1.1,1.9,5.8,0.0,0.2,8.5
Tony Romo,0.9,0.6,6.7,0.0,0.0,0.1,0.2,0.0,0.0,0.4
Chase Daniel,0.9,0.6,5.8,0.0,0.0,0.1,0.2,0.0,0.0,0.4
T.J. Yates,0.7,0.5,5.3,0.0,0.0,0.1,0.2,0.0,0.0,0.3
Landry Jones,0.8,0.5,5.2,0.0,0.0,0.0,0.3,0.0,0.0,0.3
Ryan Nassib,0.7,0.4,4.7,0.0,0.0,0.0,0.2,0.0,0.0,0.3
AJ McCarron,0.7,0.4,5.0,0.0,0.0,0.1,0.2,0.0,0.0,0.3
Tom Savage,0.7,0.4,4.8,0.0,0.0,0.1,0.2,0.0,0.0,0.3
Chad Henne,0.8,0.5,4.9,0.0,0.0,0.0,0.2,0.0,0.0,0.3
Blaine Gabbert,0.8,0.4,4.7,0.0,0.0,0.1,0.5,0.0,0.0,0.3
Ryan Fitzpatrick,0.9,0.5,5.4,0.0,0.0,0.1,0.4,0.0,0.0,0.3
Cody Kessler,0.8,0.5,5.2,0.0,0.0,0.0,0.1,0.0,0.0,0.3
Colt McCoy,0.7,0.4,4.9,0.0,0.0,0.1,0.2,0.0,0.0,0.3
Dan Orlovsky,0.7,0.4,4.6,0.0,0.0,0.0,0.1,0.0,0.0,0.3
Case Keenum,1.0,0.5,5.7,0.0,0.0,0.1,0.2,0.0,0.0,0.3
Luke McCown,0.6,0.4,4.5,0.0,0.0,0.0,0.1,0.0,0.0,0.2
Paxton Lynch,0.7,0.4,4.5,0.0,0.0,0.0,0.2,0.0,0.0,0.2
Shaun Hill,0.6,0.4,4.2,0.0,0.0,0.0,0.1,0.0,0.0,0.2
Nick Foles,0.6,0.4,3.9,0.0,0.0,0.0,0.1,0.0,0.0,0.2
Drew Stanton,0.5,0.3,3.3,0.0,0.0,0.0,0.1,0.0,0.0,0.2
Derek Anderson,0.4,0.3,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1
E.J. Manuel,0.4,0.2,2.7,0.0,0.0,0.1,0.2,0.0,0.0,0.1
Ryan Mallett,0.6,0.3,3.4,0.0,0.0,0.0,0.2,0.0,0.0,0.1
Scott Tolzien,0.7,0.4,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Mike Glennon,0.3,0.2,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Jimmy Garoppolo,0.3,0.2,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Matt McGloin,0.4,0.2,2.3,0.0,0.0,0.0,0.1,0.0,0.0,0.1
Trevone Boykin,0.3,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Kellen Clemens,0.4,0.2,2.2,0.0,0.0,0.0,0.1,0.0,0.0,0.1
Matt Schaub,0.3,0.2,1.8,0.0,0.0,0.0,0.1,0.0,0.0,0.1
Brett Hundley,0.4,0.2,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Matt Cassel,0.3,0.2,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.1
David Fales,0.2,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephen Morris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
