Minnesota,9.81,22.7,2.9,0.0,1.3,1.1,0.3,0.1,0.0,
New England,9.70,20.2,2.3,0.0,1.0,1.1,0.3,0.1,0.0,
New Orleans,9.51,25.4,2.5,0.0,1.0,1.2,0.3,0.1,0.1,
Dallas,9.22,21.8,2.1,0.0,1.2,1.1,0.3,0.1,0.0,
Arizona,8.99,22.2,2.1,0.0,1.1,1.2,0.3,0.1,0.0,
Philadelphia,8.95,21.5,2.2,0.0,1.3,1.0,0.3,0.1,0.0,
Baltimore,8.87,18.1,2.4,0.0,1.5,0.5,0.2,0.1,0.0,
Oakland,8.78,25.6,2.1,0.0,1.1,1.1,0.3,0.1,0.0,
Houston,8.45,19.0,2.0,0.0,1.4,0.6,0.2,0.1,0.0,
Seattle,8.32,15.1,2.6,0.0,1.3,0.5,0.1,0.1,0.0,
Atlanta,8.20,21.1,2.5,0.0,1.0,0.9,0.2,0.1,0.0,
Miami,9.51,22.2,2.4,0.0,1.2,1.1,0.3,0.1,0.1,
New York Giants,7.82,22.8,2.5,0.0,0.9,0.8,0.2,0.1,0.0,
Washington,7.52,23.3,2.4,0.0,1.0,0.8,0.2,0.1,0.0,
Pittsburgh,7.37,20.5,2.5,0.0,0.9,0.5,0.1,0.1,0.0,
Tennessee,7.30,20.2,2.5,0.0,0.9,0.4,0.1,0.1,0.0,
New York Jets,8.50,18.6,2.2,0.0,0.7,1.0,0.2,0.1,0.0,
Kansas City,7.08,22.1,2.0,0.0,1.1,0.7,0.2,0.1,0.0,
Los Angeles,6.90,22.9,2.0,0.0,0.7,0.9,0.2,0.1,0.0,
Buffalo,8.14,18.1,2.6,0.0,1.1,0.6,0.1,0.1,0.1,
Jacksonville,6.63,20.0,1.8,0.0,0.8,0.5,0.1,0.1,0.0,
San Diego,6.54,22.5,1.8,0.0,1.1,0.6,0.1,0.1,0.0,
Indianapolis,6.46,23.2,2.3,0.0,0.9,0.6,0.1,0.1,0.0,
Tampa Bay,6.33,26.6,1.6,0.0,0.9,0.8,0.2,0.1,0.0,
Cincinnati,6.12,25.7,1.7,0.0,1.1,0.5,0.1,0.1,0.1,
Carolina,6.06,22.8,2.3,0.0,1.0,0.4,0.1,0.1,0.0,
Green Bay,7.19,18.9,2.2,0.0,1.1,0.4,0.1,0.1,0.0,
Denver,5.72,23.5,2.5,0.0,0.7,0.4,0.1,0.1,0.0,
Detroit,5.50,20.7,1.9,0.0,0.9,0.4,0.1,0.1,0.1,
Chicago,5.24,21.6,2.3,0.0,0.6,0.4,0.1,0.1,0.0,
Cleveland,4.99,24.2,1.8,0.0,0.8,0.4,0.1,0.1,0.0,
San Francisco,4.56,30.7,2.0,0.0,0.8,0.5,0.1,0.1,0.0,
